Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Target,Target,Target,Target,Target
Ticker,AAPL,AMZN,GOOG,MSFT,SPY,AAPL,AMZN,GOOG,MSFT,SPY,AAPL,AMZN,GOOG,MSFT,SPY,AAPL,AMZN,GOOG,MSFT,SPY,AAPL,AMZN,GOOG,MSFT,SPY,AAPL,MSFT,GOOG,AMZN,SPY
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.53852081298828,94.90049743652344,67.90381622314453,152.7911376953125,299.4064636230469,72.59889913772518,94.90049743652344,67.9420524872171,152.89577671233235,299.4249140098017,71.29231130597061,93.2074966430664,66.62159046238858,150.61276208742146,297.24987779194856,71.5458973217052,93.75,66.62159046238858,151.04082551521063,298.18072230420165,135480400,80580000,28132000,22622100,59151200,0,0,0,0,0
2020-01-03,71.83329010009766,93.74849700927734,67.57058715820312,150.8886260986328,297.1392517089844,72.59405542623057,94.30999755859375,68.15856627305749,152.15380170810275,298.27285345806166,71.60868452797844,93.2249984741211,66.81992586515675,150.35592363465673,295.9319327986534,71.76566667933918,93.2249984741211,66.93493774743344,150.60326014654098,295.9872277009902,146322800,75288000,23728000,21116200,77709700,1,1,1,1,1
2020-01-06,72.40567779541016,95.14399719238281,69.2366943359375,151.27862548828125,298.2728271484375,72.44432080433776,95.18450164794922,69.35041046473987,151.34522054495744,298.3557694946267,70.7030121336898,93.0,67.04121605389896,148.88145020381464,295.24988941754117,70.95418800651902,93.0,67.04121605389896,149.42367447085834,295.36970440389786,118387200,81236000,34646000,20813700,55653900,0,0,0,1,0
2020-01-07,72.06514739990234,95.34300231933594,69.19349670410156,149.89930725097656,297.43426513671875,72.67134068922641,95.69450378417969,69.67271549564418,151.8874339140462,298.1807746660512,71.84536944211234,94.60199737548828,69.04650000353651,149.65198528111424,296.9826524657636,72.41533721540509,95.2249984741211,69.42193680575292,151.55450216789137,297.7015145356984,108872000,80898000,30054000,21634100,40496400,1,1,1,0,1
2020-01-08,73.22440338134766,94.59850311279297,69.73876190185547,152.28695678710938,299.0193786621094,73.5262949460089,95.55000305175781,70.0992936464338,152.96235665110237,300.24511989652194,71.76807876823776,94.3219985961914,69.06933934334683,150.2512643514122,297.37889751253545,71.76807876823776,94.9020004272461,69.1309144280784,151.18349353765257,297.6277245862797,132079200,70160000,30560000,27746500,68296000,1,1,1,1,1
2020-01-09,74.77975463867188,95.05249786376953,70.50897979736328,154.18948364257812,301.0469970703125,74.97296230565743,95.89099884033203,70.88143096554194,154.31315188987753,301.12074237893603,73.9513658951312,94.79000091552734,70.03422428304246,153.18115197551302,300.00556255936226,74.20253438813242,95.49449920654297,70.54573085867648,153.95166902241928,300.5954125259726,170108400,63346000,30018000,21385000,48473300,1,0,1,0,0
2020-01-10,74.94879913330078,94.15799713134766,71.0006332397461,153.4760284423828,300.18060302734375,75.51394659034878,95.34700012207031,71.25881518379731,155.26439889865875,301.7934367416276,74.44645484641248,94.0,70.43550030398244,153.32382361311434,299.710596327438,75.01401242394427,95.26850128173828,70.89286546537721,154.883901340539,301.63677721685497,140644800,57074000,36414000,20725900,53029300,1,1,1,1,1
2020-01-13,76.55006408691406,94.56500244140625,71.47240447998047,155.32147216796875,302.2451477050781,76.57663438619578,94.9000015258789,71.53646500448443,155.35000875909117,302.2543447753256,75.14687220956256,94.04000091552734,70.81639409579765,153.39992611376826,300.374261112452,75.265218754796,94.56549835205078,71.31845917411077,153.87555531921038,300.807423433188,121532000,55616000,33046000,21626500,47086800,0,0,0,0,0
2020-01-14,75.51637268066406,93.47200012207031,71.05773162841797,154.22752380371094,301.78424072265625,76.69737618985954,94.35549926757812,71.60001823554667,155.6258747654675,302.86251951647944,75.39320591637785,92.92749786376953,70.93308868283479,153.83750438933242,301.22203834356156,76.48726080979424,94.29399871826172,71.46147050516532,155.42610412162335,301.8026629828147,161954400,68818000,31178000,23477400,62832800,0,1,1,0,1
2020-01-15,75.19275665283203,93.10099792480469,71.47090148925781,155.226318359375,302.4662170410156,76.19745295500711,93.94300079345703,71.5799043888649,155.94928393806296,303.2311486258918,74.76044574351113,92.75450134277344,71.02445561952192,154.64606474602718,301.60911790811434,75.31593080536074,93.61250305175781,71.02445561952192,154.6936160477414,301.6920602636609,121923600,57932000,25654000,21417900,72056600,1,1,1,1,1
2020-01-16,76.1346435546875,93.89700317382812,72.0916519165039,158.07061767578125,304.9822082519531,76.24574496948411,94.27950286865234,72.10605681797274,158.13721273567788,304.9822082519531,75.3738782015038,93.3010025024414,71.55631394755552,156.03492513756743,303.6274270352498,75.73614811924845,94.14949798583984,71.88010218520081,156.33933481414817,303.85783181274644,108829200,53190000,23474000,23865400,54050300,1,1,1,0,1
2020-01-17,76.9775390625,93.23600006103516,73.51641845703125,158.9552764892578,305.9314880371094,76.97994918369933,94.33200073242188,73.56136084944376,159.30723743482343,306.14344244119684,76.07669177323754,92.86250305175781,72.41545487234218,157.36666226753334,304.91770134717683,76.38341102005822,94.29450225830078,72.64835815563184,159.25967161419416,305.7010832496513,137816400,79946000,47924000,34371700,95846000,0,0,1,1,0
2020-01-21,76.45586395263672,94.5999984741211,73.71554565429688,158.38450622558594,305.3324279785156,77.04756709065205,94.7135009765625,74.08551143622914,159.99213506764096,306.1434573700108,76.31819960849738,93.0,73.06002787895284,158.31791117766664,304.89006876539884,76.6056010131108,93.25,73.45334005966713,158.55572575157893,304.963785925723,110843200,74156000,40734000,29517200,77742400,1,0,1,0,1
2020-01-22,76.7287826538086,94.37300109863281,73.79252624511719,157.62351989746094,305.3692932128906,77.28184283508286,95.125,74.64985671867298,159.32628062584678,306.8531147057829,76.6345889237427,94.16699981689453,73.74187038901091,157.60449066453182,305.2126337039077,76.94130817856995,94.80449676513672,74.04331251492921,159.2406563351917,306.198744842947,101832400,64326000,32216000,24138800,48914900,1,1,1,0,1
2020-01-23,77.09828186035156,94.22899627685547,73.82728576660156,158.59378051757812,305.71954345703125,77.17797799443389,94.4990005493164,74.26777576285404,158.6698829212633,306.1342833761721,76.23366024847726,93.63800048828125,73.60133866938567,157.21445892402645,303.5906052066956,76.78190007438859,94.25550079345703,73.87645642572805,158.08961479383197,304.71498183408573,104472000,49692000,27024000,19680800,51963000,0,0,0,0,0
2020-01-24,76.8760986328125,93.08200073242188,72.83706665039062,156.9956817626953,303.000732421875,78.08849275649891,94.74949645996094,74.26653171820506,159.3643204314718,306.46602959305443,76.68530106036428,92.37200164794922,72.76455716837988,156.43444278382523,301.7012459826827,77.34463502870749,94.56849670410156,74.1719261290208,159.34529119903766,306.3830872406276,146537600,75324000,35692000,24918100,87578400,0,0,0,0,0
2020-01-27,74.61553192138672,91.41699981689453,71.20771026611328,154.37020874023438,298.143798828125,75.29659377968004,92.05000305175781,71.4147968519321,155.41659876422113,299.63681737007647,73.63257108817264,90.76699829101562,70.57702404911723,152.39158956809186,297.36964210732,74.88360812840847,91.0,71.06369912177992,153.2952821260526,297.7106366970762,161940000,70570000,35104000,32078100,84062500,1,1,1,1,1
2020-01-28,76.72634887695312,92.6624984741211,72.13436126708984,157.39524841308594,301.2681579589844,76.89782122944564,92.90550231933594,72.30519688737174,157.68061437029192,302.15290464553823,75.39802593452413,91.5009994506836,71.13668730667496,155.12174102533777,298.23602247126104,75.49704725649863,92.0250015258789,71.65961328386072,155.79712647746362,299.58157882537694,162234000,56160000,31548000,24899900,63834000,1,1,1,1,0
2020-01-29,78.33241271972656,92.9000015258789,72.4358139038086,159.84945678710938,301.019287109375,79.1801266517597,93.73750305175781,72.77349940796584,160.52485664465172,302.8717508769843,77.61753550777614,92.7509994506836,71.84534923411006,157.61400823323692,300.81652974115116,78.35898301190313,93.19999694824219,72.4442552836585,159.65920800817042,302.64134605516574,216229200,41760000,21554000,34754500,53888900,0,1,0,1,1
2020-01-30,78.21890258789062,93.53399658203125,72.29724884033203,164.35841369628906,301.9961853027344,78.27203580279424,93.64350128173828,72.36875807813423,165.56651584401405,302.20816785278754,76.9823558087521,92.53050231933594,71.3318551861541,162.46540438725938,298.1806962808872,77.4146666313588,92.9000015258789,71.50864675414853,165.56651584401405,298.93640268096397,126743200,126548000,26788000,51597500,75491800,0,0,0,1,0
