Date,DJI,GSPC,NDX,RUT
2020-01-02,28868.80078125,3257.85009765625,8872.2197265625,1666.77001953125
2020-01-03,28634.880859375,3234.85009765625,8793.900390625,1660.8699951171875
2020-01-06,28703.380859375,3246.280029296875,8848.51953125,1663.260009765625
2020-01-07,28583.6796875,3237.179931640625,8846.4501953125,1658.31005859375
2020-01-08,28745.08984375,3253.050048828125,8912.3701171875,1663.5899658203125
2020-01-09,28956.900390625,3274.699951171875,8989.6298828125,1664.989990234375
2020-01-10,28823.76953125,3265.35009765625,8966.6396484375,1657.6400146484375
2020-01-13,28907.05078125,3288.1298828125,9070.650390625,1669.6099853515625
2020-01-14,28939.669921875,3283.14990234375,9033.419921875,1675.739990234375
2020-01-15,29030.220703125,3289.2900390625,9035.669921875,1682.4000244140625
2020-01-16,29297.640625,3316.81005859375,9125.0,1705.219970703125
2020-01-17,29348.099609375,3329.6201171875,9173.73046875,1699.6400146484375
2020-01-21,29196.0390625,3320.7900390625,9166.6298828125,1685.9000244140625
2020-01-22,29186.26953125,3321.75,9188.580078125,1684.4599609375
2020-01-23,29160.08984375,3325.5400390625,9216.98046875,1685.010009765625
2020-01-24,28989.73046875,3295.469970703125,9141.4697265625,1662.22998046875
2020-01-27,28535.80078125,3243.6298828125,8952.1796875,1644.1400146484375
2020-01-28,28722.849609375,3276.239990234375,9090.9296875,1658.31005859375
2020-01-29,28734.44921875,3273.39990234375,9101.6103515625,1649.219970703125
2020-01-30,28859.439453125,3283.659912109375,9136.08984375,1648.219970703125
2020-01-31,28256.029296875,3225.52001953125,8991.509765625,1614.06005859375
2020-02-03,28399.810546875,3248.919921875,9126.23046875,1632.2099609375
2020-02-04,28807.630859375,3297.590087890625,9334.0595703125,1656.77001953125
2020-02-05,29290.849609375,3334.68994140625,9367.48046875,1681.9200439453125
2020-02-06,29379.76953125,3345.780029296875,9445.919921875,1677.4599609375
2020-02-07,29102.509765625,3327.7099609375,9401.099609375,1656.780029296875
2020-02-10,29276.8203125,3352.090087890625,9516.83984375,1667.6700439453125
2020-02-11,29276.33984375,3357.75,9517.8603515625,1677.510009765625
2020-02-12,29551.419921875,3379.449951171875,9613.2001953125,1689.3800048828125
2020-02-13,29423.310546875,3373.93994140625,9595.7001953125,1693.739990234375
2020-02-14,29398.080078125,3380.159912109375,9623.580078125,1687.5799560546875
2020-02-18,29232.189453125,3370.2900390625,9629.7998046875,1683.52001953125
2020-02-19,29348.029296875,3386.14990234375,9718.73046875,1692.5699462890625
2020-02-20,29219.98046875,3373.22998046875,9627.830078125,1696.0699462890625
2020-02-21,28992.41015625,3337.75,9446.6904296875,1678.6099853515625
2020-02-24,27960.80078125,3225.889892578125,9079.6298828125,1628.0999755859375
2020-02-25,27081.359375,3128.2099609375,8834.8701171875,1571.9000244140625
2020-02-26,26957.58984375,3116.389892578125,8873.759765625,1552.760009765625
2020-02-27,25766.640625,2978.760009765625,8436.669921875,1497.8699951171875
2020-02-28,25409.359375,2954.219970703125,8461.830078125,1476.4300537109375
2020-03-02,26703.3203125,3090.22998046875,8877.98046875,1518.489990234375
2020-03-03,25917.41015625,3003.3701171875,8594.490234375,1486.0799560546875
2020-03-04,27090.859375,3130.1201171875,8949.2802734375,1531.199951171875
2020-03-05,26121.279296875,3023.93994140625,8671.66015625,1478.8199462890625
2020-03-06,25864.779296875,2972.3701171875,8530.33984375,1449.219970703125
2020-03-09,23851.01953125,2746.56005859375,7948.02978515625,1313.43994140625
2020-03-10,25018.16015625,2882.22998046875,8372.26953125,1350.9000244140625
2020-03-11,23553.220703125,2741.3798828125,8006.1201171875,1264.300048828125
2020-03-12,21200.619140625,2480.639892578125,7263.64990234375,1122.9300537109375
2020-03-13,23185.619140625,2711.02001953125,7995.259765625,1210.1300048828125
2020-03-16,20188.51953125,2386.1298828125,7020.3798828125,1037.4200439453125
2020-03-17,21237.380859375,2529.18994140625,7473.9501953125,1106.510009765625
2020-03-18,19898.919921875,2398.10009765625,7175.18017578125,991.1599731445312
2020-03-19,20087.189453125,2409.389892578125,7288.52001953125,1058.75
2020-03-20,19173.98046875,2304.919921875,6994.2900390625,1013.8900146484375
2020-03-23,18591.9296875,2237.39990234375,7006.919921875,1002.4000244140625
2020-03-24,20704.91015625,2447.330078125,7553.830078125,1096.5400390625
2020-03-25,21200.55078125,2475.56005859375,7469.6201171875,1110.3699951171875
2020-03-26,22552.169921875,2630.070068359375,7897.1298828125,1180.3199462890625
2020-03-27,21636.779296875,2541.469970703125,7588.3701171875,1131.989990234375
2020-03-30,22327.48046875,2626.64990234375,7889.009765625,1158.3199462890625
2020-03-31,21917.16015625,2584.590087890625,7813.5,1153.0999755859375
2020-04-01,20943.509765625,2470.5,7486.2900390625,1071.989990234375
2020-04-02,21413.439453125,2526.89990234375,7635.66015625,1085.81005859375
2020-04-03,21052.529296875,2488.64990234375,7528.10986328125,1052.050048828125
