Date,WTI_Oil,US10Y,VIX
2020-01-02,61.18000030517578,1.8819999694824219,12.470000267028809
2020-01-03,63.04999923706055,1.7879999876022339,14.020000457763672
2020-01-06,63.27000045776367,1.8109999895095825,13.850000381469727
2020-01-07,62.70000076293945,1.8270000219345093,13.789999961853027
2020-01-08,59.61000061035156,1.8739999532699585,13.449999809265137
2020-01-09,59.560001373291016,1.8580000400543213,12.539999961853027
2020-01-10,59.040000915527344,1.8250000476837158,12.5600004196167
2020-01-13,58.08000183105469,1.8480000495910645,12.319999694824219
2020-01-14,58.22999954223633,1.8179999589920044,12.390000343322754
2020-01-15,57.810001373291016,1.7879999876022339,12.420000076293945
2020-01-16,58.52000045776367,1.809000015258789,12.319999694824219
2020-01-17,58.540000915527344,1.8359999656677246,12.100000381469727
2020-01-21,58.34000015258789,1.7690000534057617,12.850000381469727
2020-01-22,56.7400016784668,1.7690000534057617,12.90999984741211
2020-01-23,55.59000015258789,1.7400000095367432,12.979999542236328
2020-01-24,54.189998626708984,1.680999994277954,14.5600004196167
2020-01-27,53.13999938964844,1.6050000190734863,18.229999542236328
2020-01-28,53.47999954223633,1.6410000324249268,16.280000686645508
2020-01-29,53.33000183105469,1.593999981880188,16.389999389648438
2020-01-30,52.13999938964844,1.5579999685287476,15.489999771118164
2020-01-31,51.560001373291016,1.5199999809265137,18.84000015258789
2020-02-03,50.11000061035156,1.5199999809265137,17.969999313354492
2020-02-04,49.61000061035156,1.6030000448226929,16.049999237060547
2020-02-05,50.75,1.6490000486373901,15.149999618530273
2020-02-06,50.95000076293945,1.6440000534057617,14.960000038146973
2020-02-07,50.31999969482422,1.5779999494552612,15.470000267028809
2020-02-10,49.56999969482422,1.5470000505447388,15.039999961853027
2020-02-11,49.939998626708984,1.590000033378601,15.180000305175781
2020-02-12,51.16999816894531,1.6299999952316284,13.739999771118164
2020-02-13,51.41999816894531,1.6169999837875366,14.149999618530273
2020-02-14,52.04999923706055,1.5880000591278076,13.680000305175781
2020-02-18,52.04999923706055,1.555999994277954,14.829999923706055
2020-02-19,53.290000915527344,1.5700000524520874,14.380000114440918
2020-02-20,53.779998779296875,1.524999976158142,15.5600004196167
2020-02-21,53.380001068115234,1.4709999561309814,17.079999923706055
2020-02-24,51.43000030517578,1.3769999742507935,25.030000686645508
2020-02-25,49.900001525878906,1.3300000429153442,27.850000381469727
2020-02-26,48.72999954223633,1.309999942779541,27.559999465942383
2020-02-27,47.09000015258789,1.2990000247955322,39.15999984741211
2020-02-28,44.7599983215332,1.1269999742507935,40.11000061035156
2020-03-02,46.75,1.0880000591278076,33.41999816894531
2020-03-03,47.18000030517578,1.0099999904632568,36.81999969482422
2020-03-04,46.779998779296875,0.9919999837875366,31.989999771118164
2020-03-05,45.900001525878906,0.9259999990463257,39.619998931884766
2020-03-06,41.279998779296875,0.7059999704360962,41.939998626708984
2020-03-09,31.1299991607666,0.49900001287460327,54.459999084472656
2020-03-10,34.36000061035156,0.7480000257492065,47.29999923706055
2020-03-11,32.97999954223633,0.8199999928474426,53.900001525878906
2020-03-12,31.5,0.8489999771118164,75.47000122070312
2020-03-13,31.729999542236328,0.9509999752044678,57.83000183105469
2020-03-16,28.700000762939453,0.7279999852180481,82.69000244140625
2020-03-17,26.950000762939453,0.996999979019165,75.91000366210938
2020-03-18,20.3700008392334,1.2660000324249268,76.44999694824219
2020-03-19,25.219999313354492,1.11899995803833,72.0
2020-03-20,22.43000030517578,0.9380000233650208,66.04000091552734
2020-03-23,23.360000610351562,0.7639999985694885,61.59000015258789
2020-03-24,24.010000228881836,0.8159999847412109,61.66999816894531
2020-03-25,24.489999771118164,0.8579999804496765,63.95000076293945
2020-03-26,22.600000381469727,0.8109999895095825,61.0
2020-03-27,21.510000228881836,0.7490000128746033,65.54000091552734
2020-03-30,20.09000015258789,0.6700000166893005,57.08000183105469
2020-03-31,20.479999542236328,0.6980000138282776,53.540000915527344
2020-04-01,20.309999465942383,0.6349999904632568,57.060001373291016
2020-04-02,25.31999969482422,0.6269999742507935,50.90999984741211
2020-04-03,28.34000015258789,0.5870000123977661,46.79999923706055
2020-04-06,26.079999923706055,0.6759999990463257,45.2400016784668
2020-04-07,23.6299991607666,0.7360000014305115,46.70000076293945
2020-04-08,25.09000015258789,0.7639999985694885,43.349998474121094
2020-04-09,22.760000228881836,0.7289999723434448,41.66999816894531
2020-04-13,22.40999984741211,0.7490000128746033,41.16999816894531
2020-04-14,20.110000610351562,0.7519999742507935,37.7599983215332
2020-04-15,19.8700008392334,0.6380000114440918,40.84000015258789
2020-04-16,19.8700008392334,0.609000027179718,40.11000061035156
2020-04-17,18.270000457763672,0.6539999842643738,38.150001525878906
2020-04-20,-37.630001068115234,0.6259999871253967,43.83000183105469
2020-04-21,10.010000228881836,0.5709999799728394,45.40999984741211
2020-04-22,13.779999732971191,0.6190000176429749,41.97999954223633
2020-04-23,16.5,0.6129999756813049,41.380001068115234
2020-04-24,16.940000534057617,0.5960000157356262,35.93000030517578
2020-04-27,12.779999732971191,0.656000018119812,33.290000915527344
2020-04-28,12.34000015258789,0.6100000143051147,33.56999969482422
2020-04-29,15.0600004196167,0.6269999742507935,31.229999542236328
2020-04-30,18.84000015258789,0.621999979019165,34.150001525878906
2020-05-01,19.780000686645508,0.6420000195503235,37.189998626708984
2020-05-04,20.389999389648438,0.6370000243186951,35.970001220703125
2020-05-05,24.559999465942383,0.6570000052452087,33.61000061035156
2020-05-06,23.989999771118164,0.7110000252723694,34.119998931884766
