,Date,Close,Ticker,Prob_Down,Prob_Flat,Prob_Up
20128,2024-01-02,151.41062927246094,JNJ,0.19252148,0.55966467,0.24781379
20129,2024-01-02,165.38278198242188,JPM,0.348869,0.17600629,0.47512472
20130,2024-01-02,57.21512222290039,KO,0.35537243,0.3135079,0.3311197
20131,2024-01-02,366.10552978515625,MSFT,0.38884246,0.27121305,0.3399445
20132,2024-01-02,58.41093444824219,NEE,0.31496295,0.33207735,0.35295972
20133,2024-01-02,48.143856048583984,NVDA,0.32949612,0.25155517,0.41894877
20134,2024-01-02,26.58699607849121,PFE,0.5255473,0.10058137,0.3738713
20135,2024-01-02,399.16748046875,QQQ,0.3079616,0.24831834,0.44372007
20136,2024-01-02,463.8929443359375,SPY,0.2562615,0.35988176,0.38385677
20137,2024-01-02,15.71498966217041,T,0.43012202,0.2146203,0.35525772
20138,2024-01-02,230.9950408935547,VTI,0.35498315,0.29546052,0.34955633
20139,2024-01-02,96.31443786621094,XOM,0.38801506,0.3485708,0.26341417
20140,2024-01-03,182.7031707763672,AAPL,0.3889972,0.22654122,0.38446152
20141,2024-01-03,148.47000122070312,AMZN,0.33841354,0.25582856,0.4057579
20142,2024-01-03,243.9100036621093,BA,0.4514632,0.09956218,0.44897458
20143,2024-01-03,32.12383270263672,BAC,0.3999421,0.3792694,0.2207885
20144,2024-01-03,62.46429443359375,BHP,0.56272054,0.13994135,0.2973381
20145,2024-01-03,90.44098663330078,DIS,0.591579,0.23465551,0.17376545
20146,2024-01-03,139.40599060058594,GOOG,0.3639991,0.27282685,0.36317408
20147,2024-01-03,190.9842529296875,IWM,0.3843227,0.267905,0.34777233
20148,2024-01-03,152.3571319580078,JNJ,0.12767476,0.68597764,0.1863476
20149,2024-01-03,164.66200256347656,JPM,0.3562271,0.19926211,0.44451082
20150,2024-01-03,57.34902572631836,KO,0.28699678,0.4500374,0.26296583
20151,2024-01-03,365.8389892578125,MSFT,0.4197409,0.21471593,0.3655432
20152,2024-01-03,58.80938720703125,NEE,0.32345945,0.34894294,0.32759756
20153,2024-01-03,47.54515838623047,NVDA,0.31992602,0.122196294,0.55787766
20154,2024-01-03,26.58699607849121,PFE,0.42240816,0.19052716,0.38706464
20155,2024-01-03,394.9436645507813,QQQ,0.41295078,0.35173607,0.2353132
20156,2024-01-03,460.1044921875,SPY,0.18435279,0.25953004,0.5561172
20157,2024-01-03,15.696769714355469,T,0.320053,0.33538216,0.3445648
20158,2024-01-03,228.779525756836,VTI,0.44495112,0.31386617,0.24118277
20159,2024-01-03,97.1236343383789,XOM,0.34865487,0.37655807,0.274787
20160,2024-01-04,180.3828125,AAPL,0.30786994,0.357908,0.33422202
20161,2024-01-04,144.57000732421875,AMZN,0.43704927,0.11170614,0.45124462
20162,2024-01-04,244.94000244140625,BA,0.5758137,0.07405835,0.3501279
20163,2024-01-04,32.382511138916016,BAC,0.3985261,0.33756593,0.263908
20164,2024-01-04,61.91570663452149,BHP,0.38423175,0.13022824,0.4855401
20165,2024-01-04,89.3653564453125,DIS,0.45081985,0.33916205,0.21001808
20166,2024-01-04,137.10177612304688,GOOG,0.25792572,0.35965875,0.38241556
20167,2024-01-04,190.61056518554688,IWM,0.41140842,0.3259634,0.26262817
20168,2024-01-04,152.0353546142578,JNJ,0.17018591,0.6101408,0.21967329
20169,2024-01-04,165.7547149658203,JPM,0.41650757,0.28744382,0.29604864
20170,2024-01-04,57.15773391723633,KO,0.28254825,0.49879175,0.21866003
20171,2024-01-04,363.2131958007813,MSFT,0.2739932,0.31613943,0.40986738
20172,2024-01-04,58.62913513183594,NEE,0.3489038,0.3286934,0.3224028
20173,2024-01-04,47.97394943237305,NVDA,0.3299771,0.13952498,0.5304979
20174,2024-01-04,26.01465606689453,PFE,0.3899985,0.21164104,0.3983605
20175,2024-01-04,392.9111022949219,QQQ,0.5179369,0.30506408,0.17699902
20176,2024-01-04,458.6224060058594,SPY,0.20293984,0.48928925,0.3077709
20177,2024-01-04,15.623886108398438,T,0.308251,0.34594595,0.34580305
20178,2024-01-04,228.1913299560547,VTI,0.42207703,0.36543706,0.21248586
20179,2024-01-04,96.27678680419922,XOM,0.41595533,0.2437748,0.34026986
20180,2024-01-05,179.658935546875,AAPL,0.39675912,0.32298192,0.28025895
20181,2024-01-05,145.24000549316406,AMZN,0.313336,0.28076214,0.40590182
20182,2024-01-05,249.0,BA,0.70006615,0.14364596,0.15628788
20183,2024-01-05,32.986087799072266,BAC,0.4372851,0.3744434,0.18827151
20184,2024-01-05,61.38571548461914,BHP,0.34199092,0.2687678,0.3892413
20185,2024-01-05,89.70087432861328,DIS,0.4010833,0.394229,0.20468771
20186,2024-01-05,136.45619201660156,GOOG,0.24070421,0.40437827,0.35491753
20187,2024-01-05,190.0500030517578,IWM,0.32479045,0.31090158,0.36430794
20188,2024-01-05,152.5085906982422,JNJ,0.13671559,0.69850177,0.16478263
20189,2024-01-05,166.58633422851562,JPM,0.35562965,0.3130379,0.33133245
20190,2024-01-05,57.07164764404297,KO,0.21982104,0.48108396,0.29909503
20191,2024-01-05,363.025634765625,MSFT,0.40498468,0.30083242,0.29418287
20192,2024-01-05,58.894775390625,NEE,0.23271345,0.35173726,0.4155493
20193,2024-01-05,49.072391510009766,NVDA,0.30902487,0.12823355,0.5627416
20194,2024-01-05,26.35447883605957,PFE,0.5641899,0.16456583,0.2712443
20195,2024-01-05,393.3771057128906,QQQ,0.24402568,0.5611836,0.1947907
20196,2024-01-05,459.2505798339844,SPY,0.2416194,0.2960083,0.4623723
20197,2024-01-05,15.915410995483398,T,0.30750203,0.42699495,0.265503
20198,2024-01-05,228.534423828125,VTI,0.33424795,0.41552788,0.25022417
20199,2024-01-05,96.5684814453125,XOM,0.3933626,0.38291097,0.22372645
20200,2024-01-08,184.002182006836,AAPL,0.48194918,0.16255753,0.35549325
20201,2024-01-08,149.10000610351562,AMZN,0.45109627,0.1876279,0.3612758
20202,2024-01-08,229.0,BA,0.5688532,0.029396337,0.40175045
20203,2024-01-08,32.727413177490234,BAC,0.5655184,0.21196538,0.22251628
20204,2024-01-08,61.38571548461914,BHP,0.39820382,0.12831098,0.47348523
20205,2024-01-08,90.34230041503906,DIS,0.48972744,0.28740415,0.22286846
20206,2024-01-08,139.5748748779297,GOOG,0.25675336,0.39405632,0.34919026
20207,2024-01-08,193.4723663330078,IWM,0.37564594,0.33171657,0.29263747
20208,2024-01-08,152.88717651367188,JNJ,0.24282135,0.5683065,0.18887213
20209,2024-01-08,166.34457397460938,JPM,0.5850411,0.1720272,0.24293171
20210,2024-01-08,57.49249267578125,KO,0.22012222,0.508043,0.2718348
20211,2024-01-08,369.8764953613281,MSFT,0.35548487,0.42553842,0.21897678
20212,2024-01-08,59.691673278808594,NEE,0.23781092,0.47131252,0.29087657
20213,2024-01-08,52.226810455322266,NVDA,0.24496587,0.055509917,0.6995242
20214,2024-01-08,26.452856063842773,PFE,0.59940976,0.14352442,0.25706577
20215,2024-01-08,401.5074157714844,QQQ,0.28935802,0.40194702,0.308695
20216,2024-01-08,465.8068237304688,SPY,0.21049543,0.33079508,0.45870945
20217,2024-01-08,15.77876091003418,T,0.29641128,0.36971653,0.3338722
20218,2024-01-08,231.79893493652344,VTI,0.27515733,0.4601814,0.26466128
20219,2024-01-08,94.95947265625,XOM,0.39581907,0.37479952,0.22938141
20220,2024-01-09,183.585693359375,AAPL,0.46262312,0.3603071,0.17706975
20221,2024-01-09,151.3699951171875,AMZN,0.37077135,0.32245547,0.30677325
20222,2024-01-09,225.759994506836,BA,0.39535567,0.0982989,0.5063454
20223,2024-01-09,32.219635009765625,BAC,0.31877357,0.5060924,0.17513399
20224,2024-01-09,60.06539535522461,BHP,0.31771865,0.23247142,0.44980988
20225,2024-01-09,88.48709869384766,DIS,0.29689437,0.40825307,0.29485255
20226,2024-01-09,141.59104919433594,GOOG,0.24375562,0.5373402,0.21890415
20227,2024-01-09,191.7415008544922,IWM,0.36691794,0.47033948,0.16274263
20228,2024-01-09,152.98184204101562,JNJ,0.22839744,0.3763164,0.3952861
20229,2024-01-09,165.02943420410156,JPM,0.39327273,0.3457706,0.2609567
20230,2024-01-09,57.38728332519531,KO,0.18140107,0.40009338,0.41850558
20231,2024-01-09,370.9623718261719,MSFT,0.31430185,0.31786138,0.36783674
20232,2024-01-09,58.8283576965332,NEE,0.22969556,0.31726283,0.45304164
20233,2024-01-09,53.11336898803711,NVDA,0.31682062,0.035922818,0.64725655
20234,2024-01-09,26.291881561279297,PFE,0.4521808,0.17724022,0.37057894
20235,2024-01-09,402.3005676269531,QQQ,0.38539076,0.32833853,0.28627068
20236,2024-01-09,465.1001586914063,SPY,0.28460118,0.21980733,0.49559146
20237,2024-01-09,15.69357967376709,T,0.18583632,0.18848541,0.6256783
20238,2024-01-09,231.36756896972656,VTI,0.2910098,0.30352652,0.40546367
20239,2024-01-09,93.7833023071289,XOM,0.383122,0.2876112,0.32926682
20240,2024-01-10,184.6268920898437,AAPL,0.41259617,0.34563163,0.24177216
20241,2024-01-10,153.72999572753906,AMZN,0.35535848,0.3220348,0.32260668
20242,2024-01-10,227.83999633789065,BA,0.358311,0.25856742,0.38312152
20243,2024-01-10,32.19089889526367,BAC,0.30102625,0.3377248,0.3612489
20244,2024-01-10,59.20067596435547,BHP,0.316944,0.21948896,0.463567
20245,2024-01-10,88.11210632324219,DIS,0.27899876,0.44954887,0.27145237
20246,2024-01-10,142.8226318359375,GOOG,0.264352,0.5105866,0.2250614
20247,2024-01-10,191.84967041015625,IWM,0.44563177,0.32623133,0.22813697
20248,2024-01-10,153.20899963378906,JNJ,0.20223577,0.4605881,0.33717617
20249,2024-01-10,165.3775634765625,JPM,0.5481457,0.27161607,0.18023823
